id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931038,-122.4338563,Entire home/apt,170,1,172,11/16/2018,1.51,1,74
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511233,-122.4210179,Entire home/apt,235,30,112,8/6/2017,0.96,1,365
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.7666896,-122.4525046,Private room,65,32,17,11/21/2016,0.15,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219,-122.451828,Private room,65,32,8,9/12/2018,0.15,9,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77524859,-122.4363737,Entire home/apt,785,7,27,8/11/2018,0.24,2,89
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78470745,-122.4455543,Entire home/apt,255,2,31,9/2/2018,0.27,1,20
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7591889,-122.4223669,Private room,139,1,631,12/2/2018,5.54,2,129
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885,-122.4054306,Private room,135,1,434,11/14/2018,3.91,1,342
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874295,-122.413272,Entire home/apt,265,3,307,11/15/2018,2.73,1,303
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79142746,-122.4154357,Entire home/apt,120,30,18,5/17/2015,0.21,1,365
10819,Spacious 3BED/2BATH Apartment in Marina District,38836,Bernat,,Marina,37.80060136,-122.4250454,Entire home/apt,218,30,22,12/14/2015,0.32,42,0
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187372,-122.4385911,Entire home/apt,177,30,36,9/8/2018,0.32,42,288
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77355002,-122.4243619,Entire home/apt,194,30,14,8/25/2018,0.17,42,347
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.7857389,-122.4079771,Entire home/apt,139,30,18,8/17/2018,0.25,42,356
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77018946,-122.4459422,Private room,85,32,6,9/20/2018,0.07,9,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894262,-122.4477822,Private room,85,32,5,10/18/2015,0.07,9,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76074548,-122.4303241,Private room,79,3,383,12/3/2018,3.54,1,23
12584,"3 levels, Views, 2BR/1BA",49383,Tom,,Inner Sunset,37.76203102,-122.4545495,Entire home/apt,136,30,16,11/18/2018,0.21,2,365
14125,Gallery Residence,55475,Olivia,,Mission,37.7549067,-122.422455,Entire home/apt,215,3,97,10/26/2018,0.9,1,278
17132,Luxury 2BR suite with waterview,43185,Hijin + David,,South of Market,37.78646668,-122.390717,Entire home/apt,450,35,14,9/29/2016,0.14,1,219
